sn,seglen
1706373,1460
1707833,1460
1709293,1460
1699073,1460
1710753,1460
1704913,1460
1712213,1460
1713673,1460
1715133,1460
1716593,1460
1718053,1460
1719513,942
1720455,1460
1721915,1460
1723375,1460
1724835,1460
1726295,1460
1727755,758
1728513,1460
1729973,1460
1731433,1460
1732893,1460
1734353,1460
1735813,892
1736705,1460
1738165,1460
1739625,1460
1741085,1460
1742545,1460
1744005,892
1744897,1460
1746357,1460
1749277,1460
1752197,892
1753089,1460
1754549,1460
1756009,1460
1757469,1460
1747817,1460
1750737,1460
1758929,1460
1760389,892
1761281,1460
1762741,1460
1764201,1460
1765661,1460
1767121,1460
1769473,1460
1770933,1460
1772393,1460
1773853,1460
1775313,1460
1776773,892
1768581,1460
1777665,1460
1779125,1460
1780585,1460
1782045,1460
1783505,1460
1784965,892
1785857,1460
1788777,1460
1790237,1460
1791697,1460
1793157,892
1787317,1460
1794049,1460
1795509,1460
1798429,1460
1799889,1460
1801349,892
1796969,1460
1802241,1460
1803701,1460
1806621,1460
1808081,1460
1809541,892
1805161,1460
1810433,1460
1814813,1460
1816273,1460
1811893,1460
1817733,1460
1819193,1460
1813353,1460
1820653,1460
1822113,1460
1823573,1460
1825033,1460
1826493,730
1827223,1460
1828683,1460
1830143,1460
1831603,1460
1833063,1460
1834523,642
1836625,1460
1838085,1460
1842465,1259
1843724,1460
1845184,1460
1835165,1460
1846644,1460
1839545,1460
1841005,671
1841005,1460
1848104,1460
1849564,1460
1851024,1460
1852484,1460
1853944,1460
1855404,1460
1856864,1460
1858324,1460
1859784,1460
1861244,1460
1862704,1460
1864164,1460
1865624,1460
1867084,1410
1868494,1460
1869954,1460
1871414,1460
1872874,1460
1874334,1460
1875794,1006
1876800,1460
1878260,1460
1879720,1460
1881180,1460
1882640,1460
1884100,1460
1885560,1460
1887020,1460
1888480,1460
1889940,1460
1891400,1218
1892618,1460
1894078,1460
1895538,1460
1896998,1460
1898458,1460
1899918,805
1900723,1460
1902183,1460
1903643,1460
1905103,1460
1906563,1460
1908023,714
1908737,1460
1911657,1460
1913117,1460
1914577,1460
1916037,892
1916929,1460
1918389,1460
1919849,1460
1910197,1460
1925689,1460
1921309,1460
1924229,1460
1927149,1460
1922769,1460
1928609,1460
1930069,1460
1931529,1460
1932989,1460
1934449,1460
1935909,1460
1937369,1460
1938829,1460
1943209,1460
1946129,1460
1947589,1460
1949049,1460
1950509,1460
1940289,1460
1941749,721
1942470,739
1944669,1460
1951969,1460
1953429,1460
1954889,1460
1956349,1460
1957809,721
1958530,1460
1959990,1460
1962910,1460
1964370,1460
1965830,1460
1967290,1460
1968750,1460
1970210,1460
1961450,1460
1971670,1460
1974590,1460
1976050,1460
1977510,1460
1978970,1460
1980430,1460
1973130,1460
1981890,1460
1983350,1460
1984810,1460
1986270,1460
1987730,1460
1989190,1460
1990650,7
1990657,1460
1992117,1460
1993577,1460
1995037,1460
1996497,1460
1997957,892
2000309,1460
2003229,1460
2004689,1460
2006149,892
1998849,1460
2001769,1460
2007041,1460
2008501,1460
2009961,1460
2011421,1460
2012881,1460
2014341,892
2015233,1460
2016693,1460
2018153,1460
2019613,1460
2021073,1460
2022533,892
2023425,1460
2027805,1460
2029265,1460
2030725,892
2024885,1460
2026345,1460
2026345,1460
2026345,1460
2026345,1460
2031617,1460
2033077,1460
2034537,1460
2035997,1460
2037457,1460
2038917,1208
2040125,1460
2041585,1460
2044505,1460
2045965,1460
2047425,1103
2048528,1460
2049988,1460
2051448,1460
2052908,1460
2054368,1460
2055828,1460
2057288,1460
2058748,1460
2060208,1460
2061668,1460
2063128,1460
2064588,1460
2066048,1460
2067508,1460
2068968,1460
2070428,1460
2071888,1460
2073348,1460
2074808,1460
2076268,1460
2077728,1460
2043045,1460
2079188,1460
2080648,1460
2082108,1460
2083568,1460
2085028,1460
2086488,1460
2087948,1460
2089408,1460
2090868,1460
2092328,1460
2093788,1460
2095248,1460
2096708,480
2097188,1460
2098648,1460
2100108,1460
2101568,1460
2103028,1460
2104488,1460
2105948,1460
2108868,1460
2110328,1460
2113248,289
2107408,1460
2113537,1460
2114997,1460
2116457,1460
2117917,1460
2111788,1460
2120837,892
2121729,1460
2123189,1460
2124649,1460
2126109,1460
2127569,1460
2129029,892
2119377,1460
2129921,1460
2131381,1460
2132841,1460
2134301,1460
2135761,1460
2137221,892
2138113,1460
2139573,1460
2141033,1460
2142493,1460
2143953,1460
2145413,892
2146305,1460
2147765,1460
2149225,1460
2150685,1460
2152145,1460
2153605,892
2154497,1460
2155957,1460
2157417,1460
2158877,1460
2160337,1460
2161797,892
2162689,1460
2165609,1460
2167069,1460
2168529,1460
2169989,892
2164149,1460
